story_id,group,in_kr,in_en,in_jp,has_bank,has_assets_bank,bank_kinds
1D101A,D,True,True,True,True,True,metadata-events|sample-data
1D102A,D,True,True,True,True,True,metadata-events|sample-data
1D103A,D,True,True,True,True,True,metadata-events|sample-data
1D104B,D,True,True,True,True,True,metadata-events|sample-data
1D105A,D,True,True,True,True,True,metadata-events|sample-data
1D105B,D,True,True,True,True,True,metadata-events|sample-data
1D201B,D,True,True,True,True,True,metadata-events|sample-data
1D202A,D,True,True,True,True,True,metadata-events|sample-data
1D202B,D,True,True,True,True,True,metadata-events|sample-data
1D203B,D,True,True,True,True,True,metadata-events|sample-data
1D204B,D,True,True,True,True,True,metadata-events|sample-data
1D301B,D,True,True,True,True,True,metadata-events|sample-data
1D302B,D,True,True,True,True,True,metadata-events|sample-data
1D303B,D,True,True,True,True,True,metadata-events|sample-data
1D304B,D,True,True,True,True,True,metadata-events|sample-data
1D305B,D,True,True,True,True,True,metadata-events|sample-data
1D306A,D,True,True,True,True,True,metadata-events|sample-data
1D306B,D,True,True,True,True,True,metadata-events|sample-data
1D306I,D,True,True,True,True,True,metadata-events|sample-data
1D306I2,D,True,True,True,True,True,metadata-events|sample-data
2D102B,D,True,True,True,True,True,metadata-events|sample-data
2D107A,D,True,True,True,True,True,metadata-events|sample-data
2D202B,D,True,True,True,True,True,metadata-events|sample-data
2D301B,D,True,True,True,True,True,metadata-events|sample-data
2D306A,D,True,True,True,True,True,metadata-events|sample-data
2D306B,D,True,True,True,True,True,metadata-events|sample-data
2D306I,D,True,True,True,True,True,metadata-events|sample-data
3D101A,D,True,True,True,True,True,metadata-events|sample-data
3D102A,D,True,True,True,True,True,metadata-events|sample-data
3D103B,D,True,True,True,True,True,metadata-events|sample-data
3D301B,D,True,True,True,True,True,metadata-events|sample-data
3D302B,D,True,True,True,True,True,metadata-events|sample-data
3D303B,D,True,True,True,True,True,metadata-events|sample-data
3D304B,D,True,True,True,True,True,metadata-events|sample-data
3D305B,D,True,True,True,True,True,metadata-events|sample-data
3D306B,D,True,True,True,True,True,metadata-events|sample-data
3D307B,D,True,True,True,True,True,metadata-events|sample-data
3D308B,D,True,True,True,False,False,
3D309A,D,True,True,True,True,True,metadata-events|sample-data
3D309B,D,True,True,True,True,True,metadata-events|sample-data
3D309I,D,False,True,True,False,False,
3D309I1,D,True,True,True,True,True,metadata-events|sample-data
3D309I2,D,True,True,True,True,True,metadata-events|sample-data
4D102A,D,True,True,True,True,True,metadata-events|sample-data
4D103B,D,True,True,True,True,True,metadata-events|sample-data
4D104B,D,True,True,True,True,True,metadata-events|sample-data
