lang,file,story_id,group,entries,fields,bytes
kr,KR_1D101A.json,1D101A,D,8,content|id|model|place|teller|title,1568
kr,KR_1D102A.json,1D102A,D,19,content|id|model|place|teller|title,3600
kr,KR_1D103A.json,1D103A,D,7,content|id|model|place|teller|title,1346
kr,KR_1D104B.json,1D104B,D,17,content|id|model|place|teller|title,2664
kr,KR_1D105A.json,1D105A,D,31,content|id|model|place|teller|title,5102
kr,KR_1D105B.json,1D105B,D,38,content|id|model|place|teller|title,5961
kr,KR_1D201B.json,1D201B,D,16,content|id|model|place|teller|title,2575
kr,KR_1D202A.json,1D202A,D,19,content|id|model|place|teller|title,3247
kr,KR_1D202B.json,1D202B,D,16,content|id|model|place|teller|title,3093
kr,KR_1D203B.json,1D203B,D,86,content|id|model|place|teller|title,15018
kr,KR_1D204B.json,1D204B,D,42,content|id|model|place|teller|title,7453
kr,KR_1D301B.json,1D301B,D,59,content|id|model|place|teller|title,8694
kr,KR_1D302B.json,1D302B,D,31,content|id|model|place|teller|title,4780
kr,KR_1D303B.json,1D303B,D,37,content|id|model|place|teller|title,6229
kr,KR_1D304B.json,1D304B,D,20,content|id|model|place|teller|title,3068
kr,KR_1D305B.json,1D305B,D,78,content|id|model|place|teller|title,10700
kr,KR_1D306A.json,1D306A,D,123,content|id|model|place|teller|title,17117
kr,KR_1D306B.json,1D306B,D,10,content|id|model|place|teller|title,1628
kr,KR_1D306I.json,1D306I,D,7,content|id|model|place,881
kr,KR_1D306I2.json,1D306I2,D,9,content|id|model|place|teller|title,1393
kr,KR_2D102B.json,2D102B,D,41,content|id|model|place|teller|title,6747
kr,KR_2D107A.json,2D107A,D,8,content|id|model|place|teller|title,1376
kr,KR_2D202B.json,2D202B,D,19,content|id|model|place|teller|title,3370
kr,KR_2D301B.json,2D301B,D,10,content|id|model|place,1451
kr,KR_2D306A.json,2D306A,D,91,content|id|model|place|teller|title,10897
kr,KR_2D306B.json,2D306B,D,124,content|id|model|place|teller|title,23515
kr,KR_2D306I.json,2D306I,D,23,content|id|model|place,3108
kr,KR_3D101A.json,3D101A,D,18,content|id|model|place|teller|title,2507
kr,KR_3D102A.json,3D102A,D,84,content|id|model|place|teller|title,12538
kr,KR_3D103B.json,3D103B,D,23,content|id|model|place|teller|title,3464
kr,KR_3D301B.json,3D301B,D,101,content|id|model|place|teller|title,17030
kr,KR_3D302B.json,3D302B,D,30,content|id|model|place|teller|title,5411
kr,KR_3D303B.json,3D303B,D,52,content|id|model|place|teller|title,9945
kr,KR_3D304B.json,3D304B,D,62,content|id|model|teller|title,10846
kr,KR_3D305B.json,3D305B,D,17,content|id|model|teller|title,3194
kr,KR_3D306B.json,3D306B,D,44,content|id|model|teller|title,7976
kr,KR_3D307B.json,3D307B,D,19,content|id|model|place|teller|title,3371
kr,KR_3D308B.json,3D308B,D,33,content|id|model|place|teller|title,5878
kr,KR_3D309A.json,3D309A,D,112,content|id|model|place|teller|title,16930
kr,KR_3D309B.json,3D309B,D,14,content|id|model|place|teller|title,2557
kr,KR_3D309I1.json,3D309I1,D,33,content|id|model|place|teller|title,5878
kr,KR_3D309I2.json,3D309I2,D,63,content|id|model|place|teller|title,9602
kr,KR_4D102A.json,4D102A,D,22,content|id|model|place|teller|title,2414
kr,KR_4D103B.json,4D103B,D,38,content|id|model|place|teller|title,4340
kr,KR_4D104B.json,4D104B,D,29,content|id|model|place|teller|title,3962
kr,KR_4D105B.json,4D105B,D,60,content|id|model|place|teller|title,7545
kr,KR_4D106B.json,4D106B,D,29,content|id|model|place|teller|title,3582
kr,KR_4D107B.json,4D107B,D,34,content|id|model|place|teller|title,3851
kr,KR_4D201B.json,4D201B,D,15,content|id|model|place|teller|title,1881
kr,KR_4D202B.json,4D202B,D,38,content|id|model|place|teller|title,5721
kr,KR_4D203B.json,4D203B,D,7,content|id|model|teller|title,1032
kr,KR_4D204B.json,4D204B,D,29,content|id|model|place|teller|title,4778
kr,KR_4D205B.json,4D205B,D,31,content|id|model|place|teller|title,3473
kr,KR_4D206A.json,4D206A,D,44,content|id|model|place|teller|title,6531
kr,KR_4D206B.json,4D206B,D,9,content|id|model|place|teller|title,1047
kr,KR_4D207B.json,4D207B,D,13,content|id|model|place|teller|title,1551
kr,KR_4D208B.json,4D208B,D,31,content|id|model|place|teller|title,5055
kr,KR_4D301B.json,4D301B,D,25,content|id|model|place|teller|title,3602
kr,KR_4D302B.json,4D302B,D,42,content|id|model|place|teller|title,5447
kr,KR_4D303B.json,4D303B,D,21,content|id|model|place|teller|title,3026
kr,KR_4D304B.json,4D304B,D,70,content|id|model|place|teller|title,10045
kr,KR_4D305A.json,4D305A,D,119,content|id|model|place|teller|title,14358
kr,KR_4D305B.json,4D305B,D,35,content|id|model|place|teller|title,7750
kr,KR_4D305I.json,4D305I,D,76,content|id|model|place|teller|title,11924
kr,KR_4D305I2.json,4D305I2,D,11,content|id|model|teller|title,1229
kr,KR_5D101B.json,5D101B,D,50,content|id|model|place|teller|title,5650
kr,KR_5D102A.json,5D102A,D,31,content|id|model|place,3544
kr,KR_5D102B.json,5D102B,D,22,content|id|model|place,2297
kr,KR_5D103B.json,5D103B,D,68,content|id|model|place|teller|title,8187
kr,KR_5D104B.json,5D104B,D,23,content|id|model|place|teller|title,2862
kr,KR_5D105A.json,5D105A,D,54,content|id|model|place|teller|title,6113
kr,KR_5D105B.json,5D105B,D,12,content|id|model|place,1187
kr,KR_5D106B.json,5D106B,D,133,content|id|model|place,15795
kr,KR_5D107B.json,5D107B,D,84,content|id|model|place,9982
kr,KR_5D108B.json,5D108B,D,59,content|id|model|place,7575
kr,KR_5D201B.json,5D201B,D,73,content|id|model|place,7415
kr,KR_5D202A.json,5D202A,D,114,content|id|model|place,12319
kr,KR_5D202B.json,5D202B,D,20,content|id|model|place,2126
kr,KR_5D203B.json,5D203B,D,84,content|id|model|place,9289
kr,KR_5D204B.json,5D204B,D,20,content|id|model|place,1637
kr,KR_5D205A.json,5D205A,D,59,content|id|model|place,6521
kr,KR_5D205B.json,5D205B,D,21,content|id|model|place,1992
kr,KR_5D206B.json,5D206B,D,18,content|id|model|place|teller|title,2041
kr,KR_5D301A.json,5D301A,D,42,content|id|model|place|teller|title,4872
