story_id,group,kr,en,jp
1D101A,D,True,True,True
1D102A,D,True,True,True
1D103A,D,True,True,True
1D104B,D,True,True,True
1D105A,D,True,True,True
1D105B,D,True,True,True
1D201B,D,True,True,True
1D202A,D,True,True,True
1D202B,D,True,True,True
1D203B,D,True,True,True
1D204B,D,True,True,True
1D301B,D,True,True,True
1D302B,D,True,True,True
1D303B,D,True,True,True
1D304B,D,True,True,True
1D305B,D,True,True,True
1D306A,D,True,True,True
1D306B,D,True,True,True
1D306I,D,True,True,True
1D306I2,D,True,True,True
2D102B,D,True,True,True
2D107A,D,True,True,True
2D202B,D,True,True,True
2D301B,D,True,True,True
2D306A,D,True,True,True
2D306B,D,True,True,True
2D306I,D,True,True,True
3D101A,D,True,True,True
3D102A,D,True,True,True
3D103B,D,True,True,True
3D301B,D,True,True,True
3D302B,D,True,True,True
3D303B,D,True,True,True
3D304B,D,True,True,True
3D305B,D,True,True,True
3D306B,D,True,True,True
3D307B,D,True,True,True
3D308B,D,True,True,True
3D309A,D,True,True,True
3D309B,D,True,True,True
3D309I,D,False,True,True
3D309I1,D,True,True,True
3D309I2,D,True,True,True
4D102A,D,True,True,True
4D103B,D,True,True,True
4D104B,D,True,True,True
4D105B,D,True,True,True
4D106B,D,True,True,True
4D107B,D,True,True,True
4D201B,D,True,True,True
4D202B,D,True,True,True
4D203B,D,True,True,True
4D204B,D,True,True,True
4D205B,D,True,True,True
4D206A,D,True,True,True
4D206B,D,True,True,True
4D207B,D,True,True,True
4D208B,D,True,True,True
4D301B,D,True,True,True
4D302B,D,True,True,True
4D303B,D,True,True,True
4D304B,D,True,True,True
4D305A,D,True,True,True
4D305B,D,True,True,True
4D305I,D,True,True,True
4D305I2,D,True,True,True
5D101B,D,True,True,True
5D102A,D,True,True,True
5D102B,D,True,True,True
5D103B,D,True,True,True
5D104B,D,True,True,True
5D105A,D,True,True,True
5D105B,D,True,True,True
5D106B,D,True,True,True
5D107B,D,True,True,True
5D108B,D,True,True,True
5D201B,D,True,True,True
5D202A,D,True,True,True
5D202B,D,True,True,True
5D203B,D,True,True,True
5D204B,D,True,True,True
5D205A,D,True,True,True
5D205B,D,True,True,True
5D206B,D,True,True,True
5D301A,D,True,True,True
5D301B,D,True,True,True
