"Name","Length","LastWriteTime","BankId","Kind"
"1D101A.bank","8126","2026/3/14 1:12:50","1D101A","metadata-events"
"1D101A.assets.bank","939648","2026/5/28 18:50:54","1D101A","sample-data"
"1D102A.bank","18746","2026/3/14 1:12:51","1D102A","metadata-events"
"1D102A.assets.bank","1953696","2026/5/28 18:50:54","1D102A","sample-data"
"1D103A.bank","6002","2026/3/14 1:13:03","1D103A","metadata-events"
"1D103A.assets.bank","654528","2026/5/28 18:50:54","1D103A","sample-data"
"1D104B.bank","12374","2026/3/14 1:13:02","1D104B","metadata-events"
"1D104B.assets.bank","1316544","2026/5/28 18:50:54","1D104B","sample-data"
"1D105A.bank","26180","2026/3/14 1:13:03","1D105A","metadata-events"
"1D105A.assets.bank","2931424","2026/5/28 18:50:54","1D105A","sample-data"
"1D105B.bank","27242","2026/3/14 1:13:03","1D105B","metadata-events"
"1D105B.assets.bank","2335264","2026/5/28 18:50:54","1D105B","sample-data"
"1D201B.bank","15560","2026/3/14 1:12:51","1D201B","metadata-events"
"1D201B.assets.bank","1353024","2026/5/28 18:50:54","1D201B","sample-data"
"1D202A.bank","14498","2026/3/14 1:12:59","1D202A","metadata-events"
"1D202A.assets.bank","1496224","2026/5/28 18:50:54","1D202A","sample-data"
"1D202B.bank","15560","2026/3/14 1:13:03","1D202B","metadata-events"
"1D202B.assets.bank","1522976","2026/5/28 18:50:54","1D202B","sample-data"
"1D203B.bank","70784","2026/3/14 1:13:00","1D203B","metadata-events"
"1D203B.assets.bank","7433216","2026/5/28 18:50:54","1D203B","sample-data"
"1D204B.bank","41048","2026/3/14 1:13:04","1D204B","metadata-events"
"1D204B.assets.bank","4480480","2026/5/28 18:50:54","1D204B","sample-data"
"1D301B.bank","46358","2026/3/14 1:13:05","1D301B","metadata-events"
"1D301B.assets.bank","4143680","2026/5/28 18:50:54","1D301B","sample-data"
"1D302B.bank","33614","2026/3/14 1:13:01","1D302B","metadata-events"
"1D302B.assets.bank","4084128","2026/5/28 18:50:54","1D302B","sample-data"
"1D303B.bank","35738","2026/3/14 1:13:01","1D303B","metadata-events"
"1D303B.assets.bank","3493280","2026/5/28 18:50:54","1D303B","sample-data"
"1D304B.bank","20870","2026/3/14 1:12:52","1D304B","metadata-events"
"1D304B.assets.bank","1666592","2026/5/28 18:50:54","1D304B","sample-data"
"1D305B.bank","56978","2026/3/14 1:13:01","1D305B","metadata-events"
"1D305B.assets.bank","5419040","2026/5/28 18:50:54","1D305B","sample-data"
"1D306A.bank","104768","2026/3/14 1:12:53","1D306A","metadata-events"
"1D306A.assets.bank","8853984","2026/5/28 18:50:54","1D306A","sample-data"
"1D306B.bank","9188","2026/3/14 1:13:06","1D306B","metadata-events"
"1D306B.assets.bank","855264","2026/5/28 18:50:54","1D306B","sample-data"
"1D306I.bank","1754","2026/3/14 1:13:02","1D306I","metadata-events"
"1D306I.assets.bank","28032","2026/5/28 18:51:50","1D306I","sample-data"
"1D306I2.bank","2816","2026/3/14 1:12:53","1D306I2","metadata-events"
"1D306I2.assets.bank","855968","2026/5/28 18:50:54","1D306I2","sample-data"
"2D102B.bank","34676","2026/3/14 1:12:53","2D102B","metadata-events"
"2D102B.assets.bank","3769952","2026/5/28 18:50:54","2D102B","sample-data"
"2D107A.bank","6002","2026/3/14 1:13:03","2D107A","metadata-events"
"2D107A.assets.bank","462592","2026/5/28 18:50:54","2D107A","sample-data"
"2D202B.bank","16622","2026/3/14 1:13:06","2D202B","metadata-events"
"2D202B.assets.bank","976256","2026/5/28 18:50:54","2D202B","sample-data"
"2D301B.bank","7064","2026/3/14 1:12:54","2D301B","metadata-events"
"2D301B.assets.bank","576160","2026/5/28 18:50:54","2D301B","sample-data"
"2D306A.bank","76094","2026/3/14 1:13:06","2D306A","metadata-events"
"2D306A.assets.bank","7651392","2026/5/28 18:50:54","2D306A","sample-data"
"2D306B.bank","127070","2026/3/14 1:12:56","2D306B","metadata-events"
